FL_GANN-sliding_3-ex_func_1-act_func_1-epoch_700-pop_size_150-pc_0.9-pm_0.05,0.7367,0.0611,0.4576,0.0374
FL_GANN-sliding_3-ex_func_0-act_func_1-epoch_600-pop_size_200-pc_0.85-pm_0.05,0.7564,0.0918,0.4659,0.0537
FL_GANN-sliding_3-ex_func_3-act_func_1-epoch_700-pop_size_150-pc_0.85-pm_0.15,0.474,0.0483,0.2852,0.0305
FL_GANN-sliding_3-ex_func_3-act_func_1-epoch_600-pop_size_200-pc_0.95-pm_0.1,0.5112,0.0572,0.3107,0.0401
FL_GANN-sliding_3-ex_func_3-act_func_1-epoch_600-pop_size_250-pc_0.85-pm_0.1,0.5009,0.0411,0.2988,0.026
FL_GANN-sliding_3-ex_func_1-act_func_1-epoch_600-pop_size_200-pc_0.95-pm_0.15,0.7292,0.0558,0.4691,0.0381
FL_GANN-sliding_3-ex_func_1-act_func_1-epoch_600-pop_size_250-pc_0.85-pm_0.15,0.5328,0.0379,0.3165,0.0235
FL_GANN-sliding_5-ex_func_0-act_func_1-epoch_600-pop_size_150-pc_0.95-pm_0.05,2.5405,0.1407,1.6956,0.0895
FL_GANN-sliding_5-ex_func_3-act_func_1-epoch_500-pop_size_200-pc_0.85-pm_0.1,0.5209,0.0648,0.3279,0.0396
FL_GANN-sliding_5-ex_func_4-act_func_1-epoch_600-pop_size_150-pc_0.9-pm_0.1,2.059,0.1495,1.2537,0.0955
FL_GANN-sliding_5-ex_func_2-act_func_1-epoch_600-pop_size_150-pc_0.9-pm_0.15,1.4825,0.1609,0.9795,0.1034
FL_GANN-sliding_5-ex_func_1-act_func_1-epoch_500-pop_size_200-pc_0.85-pm_0.15,0.5713,0.0567,0.3622,0.0337
FL_GANN-sliding_2-ex_func_0-act_func_1-epoch_500-pop_size_200-pc_0.85-pm_0.05,1.4541,0.0532,0.8527,0.0361
FL_GANN-sliding_3-ex_func_2-act_func_1-epoch_800-pop_size_150-pc_0.85-pm_0.05,1.6241,0.1639,1.0564,0.1091
FL_GANN-sliding_3-ex_func_0-act_func_1-epoch_800-pop_size_150-pc_0.85-pm_0.1,0.8851,0.0718,0.6113,0.0461
FL_GANN-sliding_2-ex_func_3-act_func_1-epoch_500-pop_size_200-pc_0.95-pm_0.1,0.559,0.039,0.3662,0.0257
FL_GANN-sliding_2-ex_func_1-act_func_1-epoch_500-pop_size_200-pc_0.95-pm_0.15,0.4942,0.0401,0.2961,0.0262
FL_GANN-sliding_3-ex_func_3-act_func_1-epoch_800-pop_size_150-pc_0.95-pm_0.15,0.5318,0.0568,0.3137,0.0403
FL_GANN-sliding_5-ex_func_4-act_func_1-epoch_500-pop_size_250-pc_0.9-pm_0.05,1.4693,0.1725,0.9339,0.1056
FL_GANN-sliding_3-ex_func_0-act_func_1-epoch_700-pop_size_200-pc_0.95-pm_0.05,1.2416,0.1336,0.7635,0.0835
FL_GANN-sliding_3-ex_func_0-act_func_1-epoch_700-pop_size_250-pc_0.85-pm_0.05,0.6539,0.0826,0.4227,0.0572
FL_GANN-sliding_3-ex_func_4-act_func_1-epoch_700-pop_size_200-pc_0.9-pm_0.1,1.2534,0.141,0.8162,0.0913
FL_GANN-sliding_5-ex_func_2-act_func_1-epoch_500-pop_size_250-pc_0.9-pm_0.1,0.9145,0.13,0.6085,0.0791
FL_GANN-sliding_5-ex_func_0-act_func_1-epoch_500-pop_size_250-pc_0.9-pm_0.15,1.4659,0.0765,0.9374,0.0504
